listing_id,y_clean,y_orig
3220725,0,0
3225975,0,0
3227002,0,0
3236977,20,20
3237160,0,0
3237602,0,0
3344509,0,0
3350417,0,0
3352030,0,0
3352608,6,6
3354458,0,0
3354459,0,0
3354484,0,0
3358937,0,0
3360707,49,49
3362302,0,0
3363364,0,0
3238517,79,79
3241287,0,0
3247291,46,46
3248526,0,0
3249078,0,0
3250685,0,0
3251014,0,0
3258196,0,0
3262855,0,0
3265275,0,0
3265407,0,0
3265982,80,80
3364802,6,0
3368427,0,0
3368441,0,0
3369100,32,32
3369623,0,0
3372925,0,0
3378576,0,0
3378585,0,0
3379914,20,20
3383662,0,0
3386746,0,0
3386829,0,0
3393999,0,0
3394517,0,0
3271893,0,0
3272201,17,17
3272743,0,0
3278530,0,0
3278631,0,0
3279671,60,59
3282550,0,0
3283409,3,3
3395697,0,0
3400739,0,0
3400837,0,0
3401271,59,58
3411912,0,0
3415102,0,0
3420223,0,0
3421020,0,0
3423516,0,0
3425054,0,0
3430612,0,0
3283729,0,0
3293842,0,0
3297016,6,6
3301484,9,9
3304307,0,0
3311834,76,76
3315933,0,0
3317978,0,0
3322922,0,0
3332881,0,0
3337808,0,0
3540370,0,0
3543839,0,0
3431922,47,47
3440741,0,0
3445138,0,0
3448037,0,0
3450210,47,47
3452835,0,0
3453488,0,0
3455983,0,0
3457770,0,0
3461872,0,0
3464727,0,0
3465651,46,46
3544273,0,0
3549074,0,0
3553768,38,38
3554230,40,40
3468486,0,0
3476431,0,0
3482919,0,0
3485146,0,0
3485449,10,0
3487445,0,0
3488989,0,0
3489095,4,4
3489242,3,3
3490317,18,18
3499016,0,0
3554287,0,0
3556241,0,0
3561828,0,0
3563271,60,60
3569374,0,0
3575859,0,0
3576160,0,0
3581153,0,0
3581652,0,0
3583605,0,0
3585309,0,0
3585452,51,23
3585974,0,0
3591107,0,0
3593821,0,0
3503627,46,46
3504289,0,0
3507112,3,3
3511778,18,18
3511883,0,0
3511898,0,0
3511934,0,0
3512428,18,0
3512620,0,0
3513052,37,37
3513662,0,0
3594408,0,0
3600961,0,0
3603134,0,0
3605524,0,0
3611620,0,0
3616001,0,0
3616173,13,13
3619399,0,0
3624387,0,0
3624653,0,0
3624952,0,0
3625870,50,50
3626426,0,0
3627326,33,33
3628190,0,0
3629580,0,0
3637029,0,0
3641819,0,0
3642278,0,0
3642801,0,0
3644017,14,0
3645284,46,46
3646059,0,0
3652230,0,0
3518682,6,6
3519172,76,76
3522244,76,76
3522329,0,0
3527764,25,0
3529500,3,3
3529888,0,0
3530517,13,13
3531681,0,0
3533741,0,0
3534443,0,0
3539618,0,0
3539882,0,0
3654510,0,0
3655007,0,0
3659544,9,0
3662795,76,74
3663423,0,0
3663984,15,15
3666709,0,0
3670659,32,32
3677436,0,0
3677769,0,0
3678796,0,0
3678829,0,0
3683241,0,0
3739864,0,0
3741728,31,30
3743048,27,27
3747107,0,0
3747392,0,0
3749140,45,45
3749971,0,0
3755474,0,0
3757178,0,0
3758296,3,0
3684144,0,0
3685433,0,0
3685704,16,16
3686972,0,0
3687172,0,0
3687227,0,0
3688197,0,0
3689140,17,16
3692566,0,0
3694441,0,0
3696746,0,0
3700364,0,0
3701708,0,0
3703037,0,0
3760029,0,0
3760824,44,44
3765095,26,0
3767156,85,85
3767801,0,0
3769052,21,21
3775978,0,0
3780746,0,0
3785438,76,76
3789758,0,0
3791244,75,75
3706213,0,0
3710162,0,0
3710230,0,0
3710685,5,5
3715638,76,76
3718539,0,0
3725902,0,0
3727816,0,0
3727861,0,0
3791325,59,59
3793161,4,4
3797183,0,0
3798874,0,0
3803622,21,21
